[안양과천 교육지원청 학교시설 개방 업무 통합 매뉴얼]
 
제2장: 학교별 시설 보유 및 개방 현황 (엑셀 데이터)
... 
학교명	개방시설	개방 요일 및 시간	매칭 동호회명	비고
안양부흥중학교	체육관	"월,수,금: 20:00~21:40
일: 16:00~21:00"	부흥배구클럽(수: 20:00~21:40)	
안양부흥중학교	체육관	"월,수,금: 20:00~21:40
일: 16:00~21:00"	부흥클럽(월,금: 20:00~21:40, 일 16:00~21:00)	
안양서중학교	운동장	"월~금: 18:00~22:00
일,공휴일: 08:00~17:00"		
안양서중학교	체육관	"월~금: 18:00~22:00
일,공휴일: 13:00~17:00"	청운클럽	
안양중학교	운동장	"토: 10:00~12:00
토: 12:00~14:00"	조은FC(토: 10:00~12:00)	
안양중학교	운동장	"토: 10:00~12:00
토: 12:00~14:00"	위민FC(토: 12:00~14:00)	
안양중학교	운동장	"토: 10:00~12:00
토: 12:00~14:00"	충훈FC(일: 09:00~12:00)	
인덕원중학교	운동장	일: 12:30~15:30		
인덕원중학교	체육관	"배드민턴
월,화,목,금: 19:00~21:30
일: 16:00~19:00
  농구 - 일: 12:30~15:30"	인덕원클럽(월,화,목,금 19:00~21:30)	
임곡중학교	체육관	"월~금: 18:00~21:00
일: 17:00~21:00"	임곡중클럽	
호계중학교	운동장	"토: 08:00~20:00
일: 08:00~20:00"	평촌FC(일 08:00~12:00)	
관양고등학교	운동장	일: 15:00~18:00		
관양고등학교	체육관	일: 17:00~21:00	with(일 17:00~21:00)	
동안고등학교	운동장	일: 08:30~12:30	동안FC	
동안고등학교	체육관	일: 17:00~20:00		
신성고등학교	운동장	"일: 07:00~10:00
일: 10:00~13:00
일: 13:00~16:00"	한울FC(일 07:00~10:00)	
신성고등학교	운동장	"일: 07:00~10:00
일: 10:00~13:00
일: 13:00~16:00"	냉천FC(일 10:00~13:00)	
신성고등학교	운동장	"일: 07:00~10:00
일: 10:00~13:00
일: 13:00~16:00"	성당FC(일 13:00~16:00)	
충훈고등학교	운동장	"일: 09:00~12:00
일: 13:00~16:00"	화창FC(일 09:00~12:00)	
평촌경영고등학교	운동장	일: 8:00~12:00	부림FC	
평촌경영고등학교	체육관	"월~금: 18:00~22:00
토: 9:00~17:00
일: 9:00~13:00"	한스민턴(월~금 18:00~22:00, 토 09:00~14:00)	
평촌경영고등학교	체육관	"월~금: 18:00~22:00
토: 9:00~17:00
일: 9:00~13:00"	참민턴(토 14:00~17:00)	
평촌경영고등학교	체육관	"월~금: 18:00~22:00
토: 9:00~17:00
일: 9:00~13:00"	바카스클럽(일 09:00~13:00)	
	※ 별도의 시간 표시가 없는 경우는 개방 시간 모두 사용			
 ...
